Id_vente;Id_bien;Date mutation;Valeur fonciere;Id_codedep_codecommune
464;464;05/02/2020;220000;5101
465;465;07/02/2020;53320;5006
467;467;24/02/2020;110000;5023
468;468;27/02/2020;238000;5023
469;469;24/02/2020;55000;5023
470;470;22/02/2020;53260;5061
473;473;20/02/2020;117110;5023
475;475;28/02/2020;140150;5061
476;476;16/03/2020;113000;5161
477;477;26/03/2020;26630;5179
478;478;02/04/2020;64000;5023
479;479;02/03/2020;56900;5004
480;480;22/04/2020;114275;5023
483;483;27/03/2020;43000;5166
485;485;27/04/2020;50740;5023
486;486;30/04/2020;146192;5040
488;488;06/05/2020;80000;5061
489;489;30/04/2020;65000;5132
490;490;22/04/2020;112000;5046
491;491;14/05/2020;85000;5061
494;494;29/05/2020;65500;5139
495;495;28/05/2020;125000;5023
496;496;26/05/2020;153240;5061
501;501;30/05/2020;187000;5017
504;504;29/05/2020;59800;5061
506;506;16/05/2020;32000;5179
509;509;18/05/2020;81200;5065
512;512;10/06/2020;233400;5040
516;516;03/06/2020;125000;5061
517;517;09/06/2020;144000;5040
518;518;19/06/2020;179000;5132
522;522;05/06/2020;136000;5164
528;528;15/06/2020;202000;5023
532;532;06/06/2020;152600;5046
535;535;29/06/2020;76000;5023
539;539;24/06/2020;85700;5061
540;540;23/06/2020;19000;5153
542;542;22/06/2020;202100;5161
545;545;03/01/2020;616900;6088
546;546;03/01/2020;212550;6088
547;547;02/01/2020;229500;6088
548;548;13/01/2020;191500;6088
549;549;13/01/2020;140650;6088
550;550;10/01/2020;228500;6088
551;551;15/01/2020;112070;6088
552;552;06/01/2020;212200;6088
553;553;14/01/2020;195500;6088
554;554;10/01/2020;158525;6088
555;555;16/01/2020;171700;6088
556;556;08/01/2020;340750;6088
557;557;09/01/2020;179000;6114
558;558;09/01/2020;121300;6088
559;559;03/01/2020;317800;6088
560;560;10/01/2020;262089;6088
561;561;09/01/2020;314600;6088
562;562;17/01/2020;767000;6088
563;563;17/01/2020;116260;6088
