Id_bien;No_voie;Type de voie;Voie;Surface Carrez ;Type local;Nombre pieces principales;Id_codedep_codecommune
342;118;RUE;POTERIE;44.44;Appartement;3;4209
987;8;RUE;ANDRE CARABALONA;103.21;Maison;3;6163
345;;RES;LES MARMOTTES BLEUES;25.55;Appartement;2;4226
347;9;RUE;FONT CHAUDE;136.86;Appartement;2;4209
18348;69;RUE;ANDRE LE BOURBLANC;21.65;Maison;1;78455
351;3;TRA;DES EAUX CHAUDES;67.22;Appartement;3;4070
352;1;RUE;JULES BOURDIN;39.16;Appartement;2;4143
353;5637A;AV;DES THERMES;25.07;Appartement;1;4094
354;14;ALL;DE PROVENCE;63.73;Appartement;3;4112
355;5028;CHE;DE STE ANNETTE;102.87;Appartement;4;4094
356;36;AV;HENRI JAUBERT;82.11;Appartement;4;4070
357;117;AV;DES THERMES;23.35;Appartement;1;4094
358;9001;RES;JEANNE D ARC;30.05;Appartement;1;4112
359;20;RUE;MARIUS DEBOUT;49.2;Appartement;2;4088
361;;RES;PRA CHAUVET;37.55;Appartement;2;4226
363;;RES;LES MELEZES;73.99;Appartement;3;4226
18482;69;RUE;ANDRE LE BOURBLANC;181.1;Maison;6;78455
369;;RES;LE CEZANNE;30.95;Appartement;1;4094
370;20;ALL;DE PROVENCE;62.43;Appartement;2;4112
371;3;TRA;DES EAUX CHAUDES;35.71;Appartement;1;4070
372;7102;RTE;DU LAC;61.53;Appartement;2;4079
374;29;RUE;NATIONALE;18;Appartement;1;4039
375;;RES;LE CHRISTIANA;24.87;Appartement;1;4226
376;5177;RUE;GRANDE;62.85;Appartement;3;4242
377;9013;BD;PAUL MARTIN NALIN;56.52;Appartement;3;4112
378;11;RUE;DE L ANCIENNE MAIRIE;52.45;Appartement;4;4070
382;8;MTE;DU CHASTEL;35.65;Appartement;2;4096
383;5B;AV;DES THERMES;21.35;Appartement;1;4070
384;;RES;LA BERANGERE;32.84;Appartement;1;4226
385;5004;AV;GEORGES DE SALVE;19.28;Appartement;1;4230
386;30;AV;DES ARCADES;55.5;Appartement;2;4209
387;15;CHE;DES AJONCS;73.48;Appartement;4;4070
388;40;AV;JEAN MOULIN;75.06;Appartement;3;4209
389;4;RUE;DES ALPES;83.46;Appartement;4;4112
19767;1096;AV;ANDRE LEOTARD;69.82;Maison;3;83061
392;7263;RES;LA PETITE OURSE 2;26.41;Appartement;1;4006
393;28;RUE;DE L HUBAC;54.79;Appartement;4;4070
394;;RES;L EDELWEISS;42.72;Appartement;2;4226
395;16;AV;SAINT PROMASSE;45.2;Appartement;2;4088
396;9491;CHE;DU LAC;44.24;Appartement;2;4049
397;20;RUE;DE LA REPUBLIQUE;41.7;Appartement;1;4244
398;7;RUE;GRENETTE;46.21;Appartement;2;4019
399;12;RUE;LOUIS ANDRIEUX;64.99;Appartement;3;4088
6779;14;RUE;ANDRE MALRAUX;103.36;Maison;4;33096
402;3;RLE;DES PRISONS;54.64;Appartement;3;4088
403;16;RUE;DE L ARMISTICE;44.2;Appartement;2;4112
404;7197;RES;LE SCHUSS 3;16.61;Appartement;1;4006
405;10;AV;MARCEL ANDRE;46.42;Appartement;2;4088
406;7089;AV;REINE DES ALPES;25.44;Appartement;2;4019
408;7;PL;GENERAL DE GAULLE;22.9;Appartement;1;4070
410;8;CHE;DES PASQUIERS;38.9;Appartement;2;4019
411;5249;PL;DU FOUR;152.65;Appartement;5;4178
414;30;BD;CHARLES DE GAULLE;53.81;Appartement;2;4112
415;;RES;LA TOVIERE;30;Appartement;1;4226
416;7076;RES;LES MELEZES ROI SOLEIL;24.89;Appartement;2;4073
417;7076;RES;LES MELEZES ROI SOLEIL;45.22;Appartement;3;4073
418;7076;RES;LES MELEZES ROI SOLEIL;22.92;Appartement;1;4073
420;3;RUE;TRAVERSIERE;16.81;Appartement;1;4019
422;70;AV;JEAN GIONO;59.5;Appartement;3;4112
424;35;RUE;DU MITAN;18.26;Appartement;1;4039
7137;28;RUE;ANDRE MALRAUX;107.08;Maison;4;33096
426;;RES;LA SAPINIERE;25.9;Appartement;1;4226
428;;RES;LA ROCHAILLE;29.85;Appartement;1;4226
7168;26;RUE;ANDRE MALRAUX;84.82;Maison;4;33096
430;8;CRS;DU TRIBUNAL;69.7;Appartement;4;4070
431;103;BD;GASSENDI;60.28;Appartement;3;4070
432;53;BD;ELEMIR BOURGES;75.3;Appartement;3;4112
434;3;CHE;DE VILLEVIEILLE;64.96;Appartement;2;4019
19864;511A;CHE;ANDRE MALRAUX;115;Maison;5;83064
438;5028;CHE;DE STE ANNETTE;25.35;Appartement;1;4094
439;22;CHE;DU GALOUBET;99.22;Appartement;4;4143
440;7149;RUE;DES EAUX CHAUDES;28;Appartement;1;4094
22152;5;ALL;ANDRE MALRAUX;89.98;Maison;5;91691
443;5525;RUE;GRANDE;56.04;Appartement;2;4205
444;13;MTE;SAINT CHARLES;50.05;Appartement;2;4070
28284;9;RUE;ANDRE MESSAGER;100.86;Maison;4;95277
13070;129;RUE;ANDRE STEPINSKI;80;Maison;4;59456
447;16;LOT;LES LOUVES;130.2;Appartement;5;4242
449;;RES;LE MONOIKOS;56.19;Appartement;3;4226
8072;6;RUE;ANNE DAILLON;87.84;Maison;5;35326
451;;RES;LE MONOIKOS;37.71;Appartement;1;4226
452;5029;RUE;DE LA GRANDE FONTAINE;119.4;Appartement;5;4079
453;9018;AV;JEAN JAURES;67.58;Appartement;4;4209
457;5360;ESP;DESPIERRE;17.34;Appartement;1;5177
458;2;PROM;DE L ARCHEVECHE;56.2;Appartement;4;5046
460;5258;ALL;MARTIAL LUCIEN;44.71;Appartement;2;5177
463;5246;ALL;AICARDI HUBERT;55.76;Appartement;1;5177
19211;10;RUE;ANTAR;55.38;Maison;2;78217
465;5721;AV;CHARLES DE GAULLE;26.52;Appartement;1;5006
467;38;RUE;FRANCOIS CHABAS;45.08;Appartement;2;5023
468;9;AV;MAURICE PETSCHE;72.72;Appartement;6;5023
469;25;RUE;PASTEUR;35.18;Appartement;2;5023
470;6;RUE;DES REMPARTS;25.61;Appartement;2;5061
473;11B;RUE;PASTEUR;78.84;Appartement;4;5023
475;36;AV;CDT DUMONT;65.39;Appartement;3;5061
476;5449;RES;LES AGNEAUX;47.48;Appartement;2;5161
477;6;AV;DES MARTYRS;26.1;Appartement;1;5179
478;21;GR;GRANDE RUE;40.92;Appartement;1;5023
479;9000;RUE;COTE GELEE;26;Appartement;1;5004
480;7;AV;ADRIEN DAURELLE;67;Appartement;4;5023
483;9;RUE;VARANFRAIN;42.7;Appartement;2;5166
485;8;AV;GEN DE GAULLE;0.4;Appartement;1;5023
12065;27;RUE;ANTOINE BIANCAMARIA;75.92;Maison;4;54547
488;4;CRS;VICTOR HUGO;43.36;Appartement;2;5061
